Price_per_m²,Online_since_in_h,WG_Size,Total_People,Size,Warm_Rent_in_€,Cold_Rent_in_€,Deposit_in_€,Roomsize in m²,Appartmentsize in m²,Intermediate Rent,left_rhine_side,Weighted_Average_Sentiment,Min_Age,Max_Age,Construction_Year,Parking,Floor,Smoking,Garden_Balcony,Dist_center_in_km,Title_Length,Description_Length,Fact_Count,Population_per_km²
36.666666666666664,1,2,1,15m²,550.0,500,0,15,75,False,1.0,0.18161078838174274,30.0,30.0,,gute Parkmöglichkeiten,,Rauchen teilweise erlaubt,Balkon,4.7,33,267.0,43,7241.29
45.88235294117647,7,4,3,17m²,780.0,650,0,17,,True,1.0,0.7371978372811535,28.0,38.0,,schlechte Parkmöglichkeiten,5,Rauchen teilweise erlaubt,Balkon,3.0,66,2040.0,31,12241.95
33.125,7,2,1,16m²,530.0,470,300,16,85,True,1.0,0.6129733924611974,,,,gute Parkmöglichkeiten,4,,,4.7,92,984.0,34,6176.72
23.529411764705884,7,2,1,17m²,400.0,400,200,17,65,True,1.0,0.9342350515463917,23.0,35.0,,,1,Rauchen teilweise erlaubt,Balkon,2.5,63,1145.0,35,12150.68
23.0,7,3,2,20m²,460.0,400,460,20,,False,1.0,0.6983075471698114,,,,,,,Terrasse,3.7,34,1206.0,33,7241.29
23.91304347826087,7,2,1,23m²,550.0,550,550,23,150,True,0.0,0.9799999999999999,20.0,60.0,2009.0,gute Parkmöglichkeiten,2,Rauchen nicht erwünscht,,4.5,61,699.0,44,8035.49
46.5625,7,3,2,16m²,745.0,590,1750,16,106,False,1.0,0.9056681112894598,23.0,40.0,,gute Parkmöglichkeiten,2,Rauchen nicht erwünscht,Balkon,1.8,35,2586.0,41,12241.95
37.857142857142854,7,2,1,14m²,530.0,530,1500,14,40,False,1.0,0.8583752983912817,19.0,25.0,,schlechte Parkmöglichkeiten,Dachgeschoss,Rauchen teilweise erlaubt,Balkon,3.9,40,2029.0,32,6108.19
28.0,7,3,1,20m²,560.0,480,960,20,89,False,1.0,0.07204903677758319,24.0,45.0,1950.0,eigener Parkplatz,1,,Gartenmitbenutzung,4.4,25,527.0,39,6108.19
30.344827586206897,7,2,1,29m²,880.0,670,,29,95,True,1.0,0.9858,25.0,50.0,,schlechte Parkmöglichkeiten,1,Rauchen nicht erwünscht,,1.3,124,1202.0,33,9168.01
38.125,7,4,3,16m²,610.0,550,610,16,,True,1.0,0.5574,,,,,,,Balkon,1.6,40,298.0,16,10710.38
30.333333333333332,7,4,3,15m²,455.0,455,,15,141,True,1.0,0.8340851586489253,,,,gute Parkmöglichkeiten,2,,,6.0,37,1729.0,28,4822.1
40.0,7,2,1,14m²,560.0,420,800,14,68,False,0.0,0.6671261398176292,,,1963.0,gute Parkmöglichkeiten,2,Rauchen nicht erwünscht,Balkon,5.8,34,2083.0,42,4775.23
39.15384615384615,8,2,1,13m²,509.0,509,1042,13,55,False,0.0,0.7581885291396855,24.0,38.0,,,3,,,6.0,27,2266.0,27,5130.1
21.25,1,2,1,40m²,850.0,850,2000,40,77,False,1.0,0.0,30.0,55.0,,eigener Parkplatz,1,Rauchen teilweise erlaubt,,3.1,75,43.0,42,11259.96
27.77777777777778,8,2,1,18m²,500.0,400,1000,18,84,False,1.0,0.9963,26.0,40.0,,gute Parkmöglichkeiten,3,Rauchen nicht erwünscht,Balkon,4.9,27,1751.0,39,5048.95
20.0,8,2,1,27m²,540.0,440,,27,75,True,0.0,-0.2798483606557377,28.0,33.0,,eigener Parkplatz,4,Rauchen teilweise erlaubt,Balkon,5.5,64,1582.0,42,7191.28
32.666666666666664,8,2,1,15m²,490.0,395,1125,15,63,False,1.0,0.7254332446808509,20.0,50.0,,,,Rauchen nicht erwünscht,,1.6,33,1159.0,32,10710.38
22.818181818181817,8,8,6,11m²,251.0,250,500,11,,False,1.0,0.7158828886844527,18.0,25.0,,Bewohnerparken,0,Rauchen teilweise erlaubt,Terrasse,3.5,29,2071.0,40,6467.99
39.333333333333336,8,2,1,15m²,590.0,550,0,15,55,True,1.0,0.8886030927835052,18.0,30.0,,gute Parkmöglichkeiten,2,Rauchen nicht erwünscht,Balkon,4.0,40,839.0,32,6176.72
31.818181818181817,8,4,3,22m²,700.0,650,1950,22,104,False,1.0,0.0,18.0,30.0,,gute Parkmöglichkeiten,1,Rauchen nicht erwünscht,,4.0,43,219.0,44,7241.29
60.833333333333336,8,4,3,12m²,730.0,730,1000,12,100,False,1.0,0.8499837606837607,23.0,28.0,,,3,,,1.7,38,1710.0,28,8776.18
30.3125,9,2,1,16m²,485.0,485,485,16,80,True,1.0,0.9911,22.0,66.0,,schlechte Parkmöglichkeiten,0,Rauchen nicht erwünscht,,3.2,88,1665.0,34,11677.08
38.75,9,3,2,16m²,620.0,575,1500,16,75,True,1.0,0.705386252354049,18.0,25.0,,schlechte Parkmöglichkeiten,1,Rauchen nicht erwünscht,,2.5,43,1558.0,37,12311.83
25.8,9,3,2,25m²,645.0,610,500,25,95,True,1.0,0.9323872240488492,21.0,30.0,,,2,Rauchen teilweise erlaubt,,3.5,43,2234.0,40,6467.99
